,author_id,id,text,created_at,Keyword,geo
59,1380271355858452494,1449693958402150404,GOOD GUY WITH A GUN filming at 2500-2556 W SUPERIOR ST NOV 2 2021 TO NOV 3 2021. Permit #1604515 Status: OPEN - INCOMPLETE APPL.,2021-10-17T11:09:08.000Z,APPL,
60,897603848872894464,1449693270091735046,@Serpent_appl спасибо ♥,2021-10-17T11:06:24.000Z,APPL,
61,890701988333268992,1449690754880884739,Ths appl is kinda old uhhhh,2021-10-17T10:56:24.000Z,APPL,
62,1369204645021761536,1449689045479604224,@Serpent_appl МЫЫЫ😭😭😭❤️,2021-10-17T10:49:37.000Z,APPL,
63,1242510628473966592,1449687088769605632,"The largest Company in cloud mining
Get Bonus 30% ⬇️
https://t.co/htaQf9R26e 

$cciv $spce $blnk $wkhs $solo $pola $nio $tsla $ipoe $alyi $appl $cciv $alpp $novn $ctrm $pton $ayro $hcmc $cbbt $boxl $appl $enzc $atvk $tpii $idex $tspg $tsnp $opti $neca $dsgt $btc $jmia $plug https://t.co/Rq0QbmjBow",2021-10-17T10:41:50.000Z,APPL,
64,1369204645021761536,1449685660814749700,@Serpent_appl ЧУДЕСНЫЦ ТАКОЙ,2021-10-17T10:36:10.000Z,APPL,
65,1449413947241623554,1449682120301969413,"RT @ApplChain: 🚀Apple Chain
⭐Max Supply: 18,600,000 $APPL
🏦Tasks: 6 APPL (~$25)
🏦Referral: 6 APPL (~$25) 

Talk with bot: https://t.co/JmLL…",2021-10-17T10:22:05.000Z,APPL,
66,1240359990486917120,1449680708289527810,"RT @ACS_AMI: At ACS Appl. Nano Mater. we are interested in materials synthesis, characterization, properties. A lot of people say nano stop…",2021-10-17T10:16:29.000Z,APPL,
67,1183474015714852871,1449679062788714497,@appl_moi_sam @Skoby93 @DiscoveryDrill Il a rien fait la ptdrrr,2021-10-17T10:09:56.000Z,APPL,
68,1369204645021761536,1449678451103916036,@Serpent_appl очень..,2021-10-17T10:07:31.000Z,APPL,
69,1094892328165097473,1450128273346752514,"$APPL 150c 10/22 @ .16
Lets go #AppleEvent",2021-10-18T15:54:57.000Z,APPL,
70,1318440735407067137,1450127304617873413,@ZEBITEX Il va bouffer APPL,2021-10-18T15:51:06.000Z,APPL,
71,1175376541,1450127101277900803,@ChartistTracer اعدل في ba ولا ادخل appl,2021-10-18T15:50:17.000Z,APPL,
72,122271143,1450127044558340098,"RT @fmontes: Mi predicción del #AppleEvent mañana

1️⃣ Apple saca Macbooks
2️⃣ Los que usan Linux y Windows van a decir que ya ellos hacían…",2021-10-18T15:50:04.000Z,APPL,
73,153623741,1450126404880723974,"RT @fmontes: Mi predicción del #AppleEvent mañana

1️⃣ Apple saca Macbooks
2️⃣ Los que usan Linux y Windows van a decir que ya ellos hacían…",2021-10-18T15:47:31.000Z,APPL,
74,1447952500070486022,1450125259076775938,"I don't think this is a surprise to anyone. 

$APPL ad business has more than tripled its iOS-app-install market share since the launch of iOS 14.5. 

Taking notable share from $GOOG and $FB.  

https://t.co/Nwro2n7YUO https://t.co/QGBynU59LL",2021-10-18T15:42:58.000Z,APPL,
75,1437500326513451011,1450125153237553159,"Most profitable trading community

Discord 👇👇👌

$KODK $UAVS $GNUS $GEVO $ZOM $CHGG $DYNT $SPAQ $XELA $XERS $IDEX $APPL $BIOC $BIOL $IBIO $KTOV $BNGO $PHUN $BOXL $HMHC $AYRO $TSLA $NOVN $NIO $RRD $MARA $BKYI $ADMP $DKNG $OAS $DGLY $BNGO $CHFS $ATNM $ABIO https://t.co/owU9aZjTRQ",2021-10-18T15:42:33.000Z,APPL,
76,2954231766,1450124437953601542,@ProphitcyTrades thank you for $appl,2021-10-18T15:39:42.000Z,APPL,
77,17924931,1450122217652727811,"@NlCKStocks that appl pivot tho 👀, oh and also, you accepting sub money now? Noticed the cashapp and BTC on ur profile 😀",2021-10-18T15:30:53.000Z,APPL,
78,1292913526185615371,1450121510555987968,"RT @ACS_AMI: At ACS Appl. Nano Mater. we are interested in materials synthesis, characterization, properties. A lot of people say nano stop…",2021-10-18T15:28:04.000Z,APPL,
79,1436432790656991233,1450121436920573953,@opccpro sell the news? APPL always seems to sell off after their events.,2021-10-18T15:27:47.000Z,APPL,
80,18779231,1450121274710269957,"More grist for the mill on how $APPL privacy changes are impacting the digital marketing ecosystem.

Good for companies that enable brands to do more with their first-party data

https://t.co/eaB4WpC7Vy",2021-10-18T15:27:08.000Z,APPL,
81,1436419496240164871,1450118419504898055,"$APPL Chart as it's at a breakout level now for its event today. It's consolidated nicely and if it breaks out, it can lead the rest of the market higher. https://t.co/89Wi98FQbD https://t.co/ZrJpF9qjct",2021-10-18T15:15:47.000Z,APPL,
82,955443550048608257,1450117584054099970,RT @fei5al: #FUTR #future plc has excellent growth in exposure for their content. #DigitalMarketing #onlineshopping #OnlineMarketing #marke…,2021-10-18T15:12:28.000Z,APPL,
83,169824865,1450117510649597959,#FUTR #future plc has excellent growth in exposure for their content. #DigitalMarketing #onlineshopping #OnlineMarketing #marketingcommunications $AMZN $GOOG $FB $APPL #100DaysOfCode #MKS #OCDO #YouTubeShorts https://t.co/LOrlzzhVVc https://t.co/gXCk5vOXDQ,2021-10-18T15:12:11.000Z,APPL,
84,1217838353913004032,1450116807197528069,"@opccpro @davetothem00n Thank you Kay, took $FB $APPL  sold a little early but I am green, and thats important for me!",2021-10-18T15:09:23.000Z,APPL,
85,1441495673686290447,1450116622405062663,"Новый промокод для #алиэкспресс #aliexpress https://t.co/2EJRnvT6gv
#читаювзаимно #followback

Скидки на продукцию Apple до 20%

Промокоды указаны на карточках товаров

Распродажа длится до 21 октября 09:59 (МСК)

Промокод на дополнительную скидку:
APPL… https://t.co/snw7XuUlPC",2021-10-18T15:08:39.000Z,APPL,
86,1037817989180149760,1450116461339492352,"@WSJmarkets #FED members dumped #stocks  including $AMZN, $TSLA and $APPL in preparation to #StockMarket crash, using ""ethics concern"" as BS excuse! 

https://t.co/9yUt5F6Lae",2021-10-18T15:08:00.000Z,APPL,
87,1358839798820188164,1450116366460194817,"@stroughtonsmith @ThisIsNoahEvans NVIDIA is 2 years ahead of Appl when it comes to GPU🤌🏽

Wt are those?”FACTS”",2021-10-18T15:07:38.000Z,APPL,
88,1165825453090729984,1450115234039939077,@appl_jus this is canon I’ve decided,2021-10-18T15:03:08.000Z,APPL,
89,1848794612,1450114370407739396,"RT @TAEVisionCEO: 🔩 Robot FANUC R-2000iB Camshaft Machining Center automotive appl
engineparts machining TranTek's Courtesy Robotics
https:…",2021-10-18T14:59:42.000Z,APPL,
