,id,author_id,text,created_at,Keyword
85,1449496881994866688,872313969830227970,"RT @drummike2012: WTF =&gt; Riders watched as a woman was raped on a SEPTA train but no one called 911, police say. https://t.co/WA4OZ1vyh3",2021-10-16T22:06:01.000Z,YHOO
86,1449496683117563908,1238467680773894146,"RT @YahooNews: With a mixture of nervousness, resentment and, sometimes, relief, hundreds of thousands of New Yorkers finally got a dose of…",2021-10-16T22:05:14.000Z,YHOO
87,1449496664973193216,19546277,A new 'megacycle' may send shares of this dirt-moving equipment maker up 25%: analyst https://t.co/FI05DFq0mj by @BrianSozzi https://t.co/TwC0rju9dH,2021-10-16T22:05:09.000Z,YHOO
88,1449496660262989825,7309052,"With a mixture of nervousness, resentment and, sometimes, relief, hundreds of thousands of New Yorkers finally got a dose of coronavirus vaccine in recent weeks. https://t.co/NDvWiOP09M",2021-10-16T22:05:08.000Z,YHOO
89,1449496573608701953,1346912745417936898,RT @rebel_tigray: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:04:48.000Z,YHOO
90,1449496426334068736,757681200,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/sR4oG2sY6l,2021-10-16T22:04:13.000Z,YHOO
91,1449494799237664774,836525664,"WTF =&gt; Riders watched as a woman was raped on a SEPTA train but no one called 911, police say. https://t.co/WA4OZ1vyh3",2021-10-16T21:57:45.000Z,YHOO
92,1449494727997329408,1409195179270049794,RT @Liptonice2308: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T21:57:28.000Z,YHOO
93,1449494528713498630,1355984531820601345,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/Uj9xFuNBzE,2021-10-16T21:56:40.000Z,YHOO
94,1449493428627120132,1375587068865179652,RT @9wxh1aQkCaZY0aw: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediate…,2021-10-16T21:52:18.000Z,YHOO
95,1449493197630033923,1444711456801312768,RT @YahooFinance: Domino's Pizza is getting eaten alive by the worker shortage https://t.co/QEnahvnF0k by @BrianSozzi https://t.co/XQlAtJMA…,2021-10-16T21:51:23.000Z,YHOO
96,1449492086416449538,36553959,"RT @YahooNews: The latest victim of the supply chain slowdown is the school cafeteria, leaving nutrition administrators scrambling to get p…",2021-10-16T21:46:58.000Z,YHOO
97,1449491723420422151,841691667602255872,"RT @YahooNews: The latest victim of the supply chain slowdown is the school cafeteria, leaving nutrition administrators scrambling to get p…",2021-10-16T21:45:31.000Z,YHOO
98,1449491363284848644,20793637,"RT @HenryBushnell: I’m not sure this email has been emphasized enough.

From the “Redacted - ESPN Personality”, to Bruce Allen, two days af…",2021-10-16T21:44:05.000Z,YHOO
99,1449491142714740746,1444213138153525248,RT @Brkte5: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end…,2021-10-16T21:43:13.000Z,YHOO
100,1449490282903490563,1444213138153525248,RT @Liptonice2308: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T21:39:48.000Z,YHOO
101,1449489626406735879,1412788653475172354,RT @yfinanceplus: $X is seeing increased demand and higher pricing for steel as global economic conditions improve. Management recently pro…,2021-10-16T21:37:11.000Z,YHOO
102,1449489537231691779,300474810,"RT @YahooFantasy: Tomorrow on Fantasy Football Live, @andybehrens is joined by special guest @Lindellions! 

Tune in for all your last minu…",2021-10-16T21:36:50.000Z,YHOO
103,1449489280930353153,1444213138153525248,RT @GezaTegaruTdf: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T21:35:49.000Z,YHOO
104,1449489257324756995,1160827822186881024,RT @ThandekaMdlul10: Studying is not nice yhoo,2021-10-16T21:35:43.000Z,YHOO
105,1449488800393146375,7309052,"The latest victim of the supply chain slowdown is the school cafeteria, leaving nutrition administrators scrambling to get proper meals on the table for students as they return to the classroom. https://t.co/o2MwjjWbZm",2021-10-16T21:33:54.000Z,YHOO
106,1449488608067526664,348757509,"RT @Chris_Cwik: Every team left in the MLB postseason sucks, so who should you root for?

I tried to help.

https://t.co/HOqYG4TP3S",2021-10-16T21:33:09.000Z,YHOO
107,1449488504124329990,939993783181238278,RT @YahooFinance: Bitcoin-mining power plant raises ire of environmentalists https://t.co/G9Mh65I4kq https://t.co/YI4umgBr5u,2021-10-16T21:32:44.000Z,YHOO
108,1449488184279187457,15054017,"RT @YahooSportsNFL: It's Tua Time! 🚨

After missing the last three games with a fractured rib, Tua Tagovailoa is active and set to start fo…",2021-10-16T21:31:27.000Z,YHOO
109,1449488060543127554,985170353130496004,@nxalati_b @Fieer_cee @LiyabonaTyhali2 yhoo i never saw this🤣🤣😭😭,2021-10-16T21:30:58.000Z,YHOO
110,1449487349302366208,1195129543645896704,Oh Wow! Finally simbone...🥰💃🏽Wamuhle uMadam Mahlobo yhoo! 🔥🔥🔥❤️ https://t.co/iFnkaWVqkV,2021-10-16T21:28:08.000Z,YHOO
111,1449487153956798469,1396591299831140352,RT @negash_z: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to e…,2021-10-16T21:27:22.000Z,YHOO
112,1449486883910656000,1598956902,"RT @YahooFinance: The best and worst states for jobs, as new unemployment claims fall to pandemic-era low https://t.co/thDKOfd9lR by @emily…",2021-10-16T21:26:17.000Z,YHOO
113,1449486764947742728,551289061,@Buhle_bam @Buhle_bam you even changed your avi yhoo sorry. https://t.co/m2OKRpALGl,2021-10-16T21:25:49.000Z,YHOO
114,1449486652544536577,14562685,"RT @YahooFinance: The best and worst states for jobs, as new unemployment claims fall to pandemic-era low https://t.co/thDKOfd9lR by @emily…",2021-10-16T21:25:22.000Z,YHOO
115,1449486174301696007,1195016768567296000,Yhoo I’ve been tired hey 😭,2021-10-16T21:23:28.000Z,YHOO
116,1449486121126223876,58686257,"RT @ACF_Tech: Queue Management is getting bigger and bigger. The global system market size is ""expected to reach $860.11 million in 2021"",…",2021-10-16T21:23:16.000Z,YHOO
117,1449485432689995777,575464758,"RT @HenryBushnell: I’m not sure this email has been emphasized enough.

From the “Redacted - ESPN Personality”, to Bruce Allen, two days af…",2021-10-16T21:20:31.000Z,YHOO
118,1449485310920822784,1442205206352064513,"RT @YahooFinance: The best and worst states for jobs, as new unemployment claims fall to pandemic-era low https://t.co/thDKOfd9lR by @emily…",2021-10-16T21:20:02.000Z,YHOO
119,1449485023715934216,1031875753321943040,@CwengaVuyo Yhoo 🙆‍♂️😭🤣😂,2021-10-16T21:18:54.000Z,YHOO
120,1449484998982225921,2189545792,@bhelekaziii_ @BiKeR626 😭😭😭😭😭 Yhoo,2021-10-16T21:18:48.000Z,YHOO
121,1449484881675882506,86669274,"RT @YahooNews: Currently, there are license plates with salty language including f-bombs, references to anatomy and sex acts, and general i…",2021-10-16T21:18:20.000Z,YHOO
122,1449484786263896072,1601049048,"RT @atmosfx: Time to clear some room on your shelves for these sweet new Universal Monster toys!
https://t.co/t6sJf1Dr6y",2021-10-16T21:17:57.000Z,YHOO
123,1449484707729747972,19546277,"The best and worst states for jobs, as new unemployment claims fall to pandemic-era low https://t.co/thDKOfd9lR by @emily_mcck https://t.co/0Yl3NonThZ",2021-10-16T21:17:39.000Z,YHOO
124,1449484652180295685,2798623182,"Giants activate LB Cam Brown from IR, elevate OT Korey Cunningham and WR Dante Pettis from practice squad https://t.co/7HHjN1Q7FR",2021-10-16T21:17:25.000Z,YHOO
125,1449484496064196611,1376253913721094145,RT @Liptonice2308: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T21:16:48.000Z,YHOO
126,1449484213120602116,296509506,RT @GeorgiannaPros2: @miyashay @Jessika4Justice You &amp; @GeneforTexas endorse releasing #murderers on #bond but don’t want #Houstonians to ow…,2021-10-16T21:15:41.000Z,YHOO
127,1449483918072221698,1026329173,RT @YahooFinance: JPMorgan Chase's Dimon: Inflation 'might go higher than people think' https://t.co/Xr6HpTuf7L by @bcheungz https://t.co/h…,2021-10-16T21:14:30.000Z,YHOO
128,1449483460196900868,1376805366772727810,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/gdLNbXWuo4,2021-10-16T21:12:41.000Z,YHOO
129,1449483294731558918,1226066892726685697,@Mkhuh_Mbulazi Yhoo Mkhulu trust me ofuni ukuyibona lena😩😩🤦🏽‍♀️,2021-10-16T21:12:02.000Z,YHOO
