,id,author_id,text,created_at,Keyword,geo
48,1449767111375482889,1447147703809368066,"@AirdropDet Amazing project with amazing planning. That make this project grow up quickly, i'm very glad to be here and thank you for giving me this oppurtunity

@MdArifu78230026

@SohanaSaba14

@FariaRifa

#Airdrops #XBlock #Bitcoin #AirdropDet #BNB",2021-10-17T15:59:49.000Z,bitcoin,
49,1449767110197010437,1194432385,"@mcuban ""Best point"" in a world where El Salvador or Lightning Network does not exit. ¯\_(ツ)_/¯

🍌 &gt; #Bitcoin https://t.co/uAGymoaYJC",2021-10-17T15:59:49.000Z,bitcoin,
50,1449767110150873093,2286794344,"@saylor GIVE🔥DEFY🔥A CHANCE 
@DefyFarmV2😱😱DEFY DEFY💥🔥
 #altcoins #DeFi # #Bitcoin #Defy_v2 #Defyswap #binance #Cryptocurrencies #BNB #CoinmarketCap
🚜Defy FARM🚜
🌐Website: https://t.co/G9Rgpbng4F
🌳Linktr: https://t.co/rpARm9wR2U
📈Charts📈
Poocoin Chart⚡️: https://t.co/5bWPoePZaO https://t.co/1osFjkjo4k",2021-10-17T15:59:49.000Z,bitcoin,
51,1449767108867407878,334797843,"RT @ElMundoSV: #EnVideo | Avanza la marcha sobre la alameda Juan Pablo II, frente al hospital general del ISSS. Pancartas contra el bitcoin…",2021-10-17T15:59:48.000Z,bitcoin,
52,1449767106883489799,1444278817502208000,🐳🚨 Bitcoin Whale Alert: [ TX: 7133006586620c7eccea121b02e9d09a54aceea1636a8555740de1a9c0dd449e ]-[ ADDR: 3L8HPQ2pMXSnWxDz7wbdVCZrVYDPRmEVrG ]-[ #BTC: 49.56103412 ]-[ BLOCK_DATE: 2021-10-17 17:33:14 ] #btc_whale_alert #bitcoin,2021-10-17T15:59:48.000Z,bitcoin,
53,1449767105415372801,1442839449327456262,"RT @AirdropStario: 💧 WellBe Coin 2nd Round Airdrop 💧

🏆 Task:          ➕ Up to 100 WELB (~$17)

👨‍👩‍👧 Referral:   ➕ 10 WELB (~$1.7)

🔛 Aird…",2021-10-17T15:59:47.000Z,bitcoin,
54,1449767105352536069,1397795953336221697,"RT @AirdropStario: 💧QuikYield Airdrop 💧

🏆 Task:          ➕ 100 Million QYU » Total airdrop pool.

📍 Listed on: PancakeSwap and Sushiwap

🔛…",2021-10-17T15:59:47.000Z,bitcoin,
55,1449767104975093765,56169273,"#Bitcoin   is backed by code and a carefully designed transparent verifiable incentive system.
Every single line of code is transparent and auditable.

Every money, bank, &amp; system includes incentive systems. Can you mentally understand all the layers of the ones you use?",2021-10-17T15:59:47.000Z,bitcoin,
56,1449767104178130949,1397807835862421507,"@TheFigen #BNbitcoin's engines are warming up...

...and there are seats for everyone onboard!

The first PoW-mined BEP20 token is the most neutral project on #BSC and, like #Bitcoin, belongs only to its users💪

Stay tuned🚀🚀🚀

#Crypto #Binance #BTC #DeFi #BNB #BinanceSmartChain #GameFi",2021-10-17T15:59:47.000Z,bitcoin,
57,1449767100847992837,1118873707785674752,"Current Bitcoin transaction fees: 
    
BCH Next Block: $0.0031 
BCH Median: $0.0013 

BTC Next Block: $0.30 
BTC Median: $1.25",2021-10-17T15:59:46.000Z,bitcoin,
58,1449767099883208711,1232383874203836416,Que el bitcoin llegue a 100🤞,2021-10-17T15:59:46.000Z,bitcoin,
59,1449767099497205760,902581004019294208,"RT @rektcapital: #BTC is setting itself up for a bullish Weekly Close

$BTC #Crypto #Bitcoin https://t.co/OTvJkcjgF3",2021-10-17T15:59:46.000Z,bitcoin,
60,1449767099086295048,18185251,"RT @JoeOrsini_: Conclusion: Futures-based ETFs are for intraday trading, not long-term investing. 

Own #bitcoin directly.",2021-10-17T15:59:46.000Z,bitcoin,
61,1449767097668538369,1433085148497596421,@beautyofhelin How so? They can literally print money to sponsor terrorism. I guess we‘d have to have a global Bitcoin standard first in order for your theory to work. And I believe it’ll happen. Just saying that buying Bitcoin isn’t enough.,2021-10-17T15:59:46.000Z,bitcoin,
